ID,SKU,Nombre,Categoria,Precio_USD,Notas
2086,"","Ritual Ring Vacamuerta Nº3 – Sterling Silver & Atacama Meteorite","Ring",,
2085,"","RITUAL RING No. 19 – Sterling Silver + Atacama Meteorite (Vacamuerta)","Ring",,
2084,"","Ritual Ring Vacamuerta No.19 – Sterling Silver & Atacama Meteorite","Ring",,
2083,"","Stainless Steel Spiral Engraved Plugs","Plug",,
2082,"","Ornamental Brass Wood Hangers – Walnut","Hanger",,
2081,"","Teardrop Ammonite Plugs – Walnut & Bronze","Amulets / Plug",,
2079,"","Aonik","Amulets",,
2077,"","Mystic Bee Titanium Piercing","Ear Jewelry",,
2076,"","Mystic snake piercing","Amulets",,
2075,"","Diamond Walnut Wood Hangers","Hanger",,
2074,"","Ear Weights","Hangers / Weights",,
2073,"","Teardrop Amethyst","Amulets",,
2072,"","Octagonal Wooden Sunglasses","Sunglasses",,
2071,"","Ethnic Carved Details","Ring",,
2070,"","Tribal Bell Surgical Steel Expansions (Black with Gold Engravings)","Plug / Stretching",,
2069,"","Tribal Bronze Expansions","Plug / Stretching",,
2068,"","Bronce expansión Espiral","Plug / Stretching",,
2067,"","Ornamental Wooden Weights","Hangers / Weights",,
2066,"","Black Surgical Steel Snake Saddle Expander with Golden Eye Detail","Amulets / Saddle",,
2065,"","Dark Wood Smooth Plug Type Expansion","Plug / Stretching",,
2064,"","Wood Tunnel Expansion","Plug / Stretching",,
2063,"","Flor loto expansión","Amulets / Plug / Stretching",,
2062,"","Titanium Internal Thread Piercing with 3 Gold-Colored Dots","Ear Jewelry",,
2061,"","Gold Titanium Internal Thread Piercing with Onyx Stone","Ear Jewelry",,
2060,"","Golden Drop-Shaped Clicker Septum","Ring / Septum",,
2059,"","Anillo gota","Ring",,
2058,"","Golden Surgical Steel Septum Piercing with Chain","Septum",,
2057,"","Golden Multi-Ring Clicker for Ear Expansions","Plug / Ring / Stretching",,
2056,"","Golden Stainless Steel Geometric Triangular Hanger Weight","Hanger",,
2055,"","6mm Titanium Septum Rings","Ring / Septum",,
2054,"","6mm Silver Titanium Septum Rings","Ring / Septum",,
2053,"","pendiente de aro de gran calibre","Amulets",,
2052,"","Expansor Brillante en Forma de Gota de Agua","Plug / Stretching",,
2051,"","Fluorita tapón","Plug",,
2050,"","Medusa expansión","Amulets / Plug / Stretching",,
