reference_id,zone_id,type,x,y,w,h,z,priority,occupancy,color_role,motion_role,anchor
REF_01,rail_left,side_rail,0.01,0.02,0.16,0.96,1,1,0.82,rail,scan,canvas
REF_01,solar_marker,status_seal,0.6,0.03,0.22,0.16,1,2,0.82,data,pulse,canvas
REF_01,hero_orbit,hero_chamber,0.2,0.04,0.76,0.74,1,1,0.82,hero,orbit,canvas
REF_01,hero_relic,hero_object,0.3,0.25,0.57,0.48,2,1,0.82,diagram,breath,canvas
REF_01,lower_band,technical_band,0.2,0.77,0.76,0.2,1,2,0.82,data,ticker,canvas
REF_01,frame,outer_frame,0,0,1,1,4,3,0.05,frame,static,canvas
REF_02,command_rail,side_rail,0.01,0.02,0.28,0.96,1,1,0.82,rail,scan,canvas
REF_02,specimen_head,hero_object,0.34,0.04,0.62,0.62,1,1,0.82,hero,breath,canvas
REF_02,emission,energy_field,0.3,0.46,0.68,0.28,2,1,0.82,diagram,flow,canvas
REF_02,instrument_stack,data_stack,0.02,0.55,0.43,0.38,1,2,0.82,data,ticker,canvas
REF_02,footer_glyphs,technical_footer,0.02,0.91,0.96,0.07,1,2,0.82,footer,status,canvas
REF_02,frame,outer_frame,0,0,1,1,4,3,0.05,frame,static,canvas
REF_03,title_rail,vertical_headline,0.03,0.02,0.22,0.96,1,1,0.82,headline,static,canvas
REF_03,state_01,sequence_frame,0.27,0.02,0.71,0.31,1,1,0.82,sequence,mutation,canvas
REF_03,state_02,sequence_frame,0.27,0.345,0.71,0.31,1,1,0.82,sequence,mutation,canvas
REF_03,state_03,sequence_frame,0.27,0.67,0.71,0.31,1,1,0.82,sequence,mutation,canvas
REF_03,metadata,microtext_rail,0,0.02,0.035,0.96,3,3,0.82,microtext,ticker,canvas
REF_04,top_protocol,microtext_header,0.03,0.02,0.94,0.14,1,2,0.82,microtext,ticker,canvas
REF_04,orbital_field,orbital_overlay,0.05,0.1,0.9,0.78,2,1,0.82,diagram,orbit,canvas
REF_04,central_subject,hero_object,0.18,0.24,0.58,0.52,1,1,0.82,hero,breath,canvas
REF_04,warning_rail,warning_rail,0.8,0.16,0.17,0.7,1,2,0.82,data,status,canvas
REF_04,bottom_code,technical_footer,0.05,0.84,0.9,0.12,1,2,0.82,footer,ticker,canvas
REF_05,top_signal,status_band,0.08,0.02,0.84,0.1,1,2,0.82,field,pulse,canvas
REF_05,biometric_view,hero_panel,0.08,0.14,0.84,0.29,1,1,0.82,hero,flow,canvas
REF_05,chronometer,numeric_headline,0.08,0.45,0.84,0.24,1,1,0.82,clock,tick,canvas
REF_05,instrument_left,data_panel,0.08,0.72,0.55,0.16,1,2,0.82,data,scan,canvas
REF_05,instrument_right,status_cell,0.66,0.72,0.26,0.16,1,2,0.82,panel,status,canvas
REF_05,footer,technical_footer,0.08,0.9,0.84,0.07,1,2,0.82,footer,ticker,canvas
REF_06,left_cells,instrument_rail,0.02,0.02,0.22,0.94,1,2,0.82,rail,status,canvas
