id,motivo_duda,cover_path
spec-3d120819-50396,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Mandala/Blanco y negro/image3A30218_mirror4.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/3d120819-50396/cover.webp
spec-3ffc1c6a-50431,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Circular/image3A30212_mirror2.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/3ffc1c6a-50431/cover.webp
spec-424dd21b-50393,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Psycho/image3A30006_mirror33.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/424dd21b-50393/cover.webp
spec-46c23666-50431,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Circular/image3A30212_mirror2.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/46c23666-50431/cover.webp
spec-4ead4c58-50394,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Molecular/image3A30075_mirror4.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/4ead4c58-50394/cover.webp
spec-629c1fee-50394,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Molecular/image3A30075_mirror4.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/629c1fee-50394/cover.webp
spec-6ce5c846-54498,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Mandala/Blanco y negro/image3A30213_mirror19.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/6ce5c846-54498/cover.webp
spec-a537f76f-50393,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Psycho/image3A30006_mirror33.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/a537f76f-50393/cover.webp
spec-a835bc5b-50396,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: Mandala/Blanco y negro/image3A30218_mirror4.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/a835bc5b-50396/cover.webp
spec-b7aa0183-51256,Pieza ambigua (render 3D / maquetación comercial híbrida; requiere decisión humana de Ocín). Coincidencia hash: image3A32302_mirror8.jpg,/Users/user1/wenu-frontend/public/kodex-content/art/b7aa0183-51256/cover.webp
