id,asset,w,h,url
spec-0050aebb-49347,art/0050aebb-49347/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0050aebb-49347/cover.webp
spec-00bbb1ee-49356,art/00bbb1ee-49356/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/00bbb1ee-49356/cover.webp
spec-00c8b66b-52172,art/00c8b66b-52172/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/00c8b66b-52172/cover.webp
spec-00cec0d0-50099,art/00cec0d0-50099/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/00cec0d0-50099/cover.webp
spec-00e7dbcb-49350,art/00e7dbcb-49350/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/00e7dbcb-49350/cover.webp
spec-00f04ec2-49952,art/00f04ec2-49952/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/00f04ec2-49952/cover.webp
spec-014cecfe-53930,art/014cecfe-53930/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/014cecfe-53930/cover.webp
spec-0155d7cc-50354,art/0155d7cc-50354/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0155d7cc-50354/cover.webp
spec-015bf7e0-51100,art/015bf7e0-51100/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/015bf7e0-51100/cover.webp
spec-01b17a1a-50445,art/01b17a1a-50445/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/01b17a1a-50445/cover.webp
spec-01eaaf96-50454,art/01eaaf96-50454/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/01eaaf96-50454/cover.webp
spec-01efee67-51194,art/01efee67-51194/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/01efee67-51194/cover.webp
spec-02a80b4b-51312,art/02a80b4b-51312/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/02a80b4b-51312/cover.webp
spec-02b98bb5-51178,art/02b98bb5-51178/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/02b98bb5-51178/cover.webp
spec-02e4b560-49795,art/02e4b560-49795/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/02e4b560-49795/cover.webp
spec-02efa383-49869,art/02efa383-49869/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/02efa383-49869/cover.webp
spec-030288b7-49967,art/030288b7-49967/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/030288b7-49967/cover.webp
spec-03acbb43-49690,art/03acbb43-49690/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/03acbb43-49690/cover.webp
spec-0416114c-49210,art/0416114c-49210/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0416114c-49210/cover.webp
spec-0516e606-51145,art/0516e606-51145/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0516e606-51145/cover.webp
spec-0536bf54-49958,art/0536bf54-49958/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0536bf54-49958/cover.webp
spec-05921f2d-49806,art/05921f2d-49806/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/05921f2d-49806/cover.webp
spec-0597ab2a-49090,art/0597ab2a-49090/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0597ab2a-49090/cover.webp
spec-05c4b905-49098,art/05c4b905-49098/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/05c4b905-49098/cover.webp
spec-0686ac7d-51364,art/0686ac7d-51364/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0686ac7d-51364/cover.webp
spec-071ffdcd-50462,art/071ffdcd-50462/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/071ffdcd-50462/cover.webp
spec-075097be-50096,art/075097be-50096/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/075097be-50096/cover.webp
spec-076fa4a1-50086,art/076fa4a1-50086/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/076fa4a1-50086/cover.webp
spec-07c78007-49786,art/07c78007-49786/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/07c78007-49786/cover.webp
spec-07ce9057-49345,art/07ce9057-49345/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/07ce9057-49345/cover.webp
spec-0871a84e-50397,art/0871a84e-50397/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0871a84e-50397/cover.webp
spec-087d6421-53928,art/087d6421-53928/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/087d6421-53928/cover.webp
spec-0896a3e1-53106,art/0896a3e1-53106/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0896a3e1-53106/cover.webp
spec-0958b74c-50442,art/0958b74c-50442/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0958b74c-50442/cover.webp
spec-09f7de96-49541,art/09f7de96-49541/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/09f7de96-49541/cover.webp
spec-0a13f03b-49907,art/0a13f03b-49907/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0a13f03b-49907/cover.webp
spec-0a5b883e-52056,art/0a5b883e-52056/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0a5b883e-52056/cover.webp
spec-0b2612a4-51436,art/0b2612a4-51436/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0b2612a4-51436/cover.webp
spec-0ba91692-52889,art/0ba91692-52889/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ba91692-52889/cover.webp
spec-0bb4c984-51298,art/0bb4c984-51298/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0bb4c984-51298/cover.webp
spec-0bdc2cb3-51002,art/0bdc2cb3-51002/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0bdc2cb3-51002/cover.webp
spec-0c8b9ac4-51143,art/0c8b9ac4-51143/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0c8b9ac4-51143/cover.webp
spec-0cbe3ac2-50997,art/0cbe3ac2-50997/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0cbe3ac2-50997/cover.webp
spec-0ccd7ba4-49611,art/0ccd7ba4-49611/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ccd7ba4-49611/cover.webp
spec-0d0a73f1-50110,art/0d0a73f1-50110/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0d0a73f1-50110/cover.webp
spec-0d4aa0ef-50088,art/0d4aa0ef-50088/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0d4aa0ef-50088/cover.webp
spec-0dbfe0ec-52717,art/0dbfe0ec-52717/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0dbfe0ec-52717/cover.webp
spec-0dd267a0-48733,art/0dd267a0-48733/cover.webp,1080,2376,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0dd267a0-48733/cover.webp
