id,asset,w,h,url
spec-0087532a-46709,art/0087532a-46709/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0087532a-46709/cover.webp
spec-02130193-51069,art/02130193-51069/cover.webp,447,447,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/02130193-51069/cover.webp
spec-02a52eb7-9856,art/02a52eb7-9856/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/02a52eb7-9856/cover.webp
spec-0343742c-9822,art/0343742c-9822/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0343742c-9822/cover.webp
spec-055c0b2c-42202,art/055c0b2c-42202/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/055c0b2c-42202/cover.webp
spec-05dcc87f-39407,art/05dcc87f-39407/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/05dcc87f-39407/cover.webp
spec-061bdca4-39432,art/061bdca4-39432/cover.webp,1800,1192,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/061bdca4-39432/cover.webp
spec-06fbc26e-9828,art/06fbc26e-9828/cover.webp,1732,1732,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/06fbc26e-9828/cover.webp
spec-07e81f49-46672,art/07e81f49-46672/cover.webp,1800,2400,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/07e81f49-46672/cover.webp
spec-07ff31f7-53134,art/07ff31f7-53134/cover.webp,1080,588,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/07ff31f7-53134/cover.webp
spec-08726d51-49519,art/08726d51-49519/cover.webp,300,300,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/08726d51-49519/cover.webp
spec-08f5e173-52283,art/08f5e173-52283/cover.webp,990,593,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/08f5e173-52283/cover.webp
spec-09ffb837-9048,art/09ffb837-9048/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/09ffb837-9048/cover.webp
spec-0a01f494-53896,art/0a01f494-53896/cover.webp,279,434,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0a01f494-53896/cover.webp
spec-0a5ebbb9-52305,art/0a5ebbb9-52305/cover.webp,1000,1000,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0a5ebbb9-52305/cover.webp
spec-0ae2b566-52318,art/0ae2b566-52318/cover.webp,900,900,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ae2b566-52318/cover.webp
spec-0ae7e182-54943,art/0ae7e182-54943/cover.webp,1800,1350,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0ae7e182-54943/cover.webp
spec-0c68e6a3-51158,art/0c68e6a3-51158/cover.webp,454,881,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0c68e6a3-51158/cover.webp
spec-0d397595-54173,art/0d397595-54173/cover.webp,1080,140,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0d397595-54173/cover.webp
spec-0d8b2f07-9017,art/0d8b2f07-9017/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0d8b2f07-9017/cover.webp
spec-0de21161-54231,art/0de21161-54231/cover.webp,1800,1800,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0de21161-54231/cover.webp
spec-0e3002ae-51291,art/0e3002ae-51291/cover.webp,1079,169,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0e3002ae-51291/cover.webp
spec-0fd04bca-52292,art/0fd04bca-52292/cover.webp,990,990,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/0fd04bca-52292/cover.webp
spec-122011ab-39396,art/122011ab-39396/cover.webp,1800,2718,https://pub-2b4562c758ed440ab047fe9523a2d99c.r2.dev/kodex-content/art/122011ab-39396/cover.webp
