sku,name,categoria,material,stock,price_usd,has_ref,has_macro,has_desc,published_wc,updated_at,priority_score
WM-PRC-011,Stone Top Piercings 14g,Piercing,Mixed,14,35.0,True,True,True,False,2026-05-30 08:20:05+00:00,104
WM-PRC-007,NeoMetal Opal Cabochon Tops,Piercing,Titanium,13,40.0,True,True,True,False,2026-05-30 08:20:05+00:00,104
WM-TUN-006,Brass Svastika Tunnel,Tunnel,Brass,5,45.0,True,True,True,False,2026-05-30 08:20:44+00:00,104
WM-PRC-008,Nostril Chain Gold,Piercing,Stainless steel,4,25.0,True,True,True,False,2026-05-30 08:20:05+00:00,104
WM-PRC-029,Round Prong-Set Labret Tops (4-color set),Piercing,Titanium,4,25.0,False,True,True,False,2026-05-30 09:03:56+00:00,104
WM-PLG-008,Black Obsidian Plugs,Plug,Stone,2,90.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-HAN-006,Black Obsidian Hanger,Hanger,Mixed,2,88.0,True,True,True,False,2026-05-30 09:31:39+00:00,104
WM-HAN-024,Buddha Head Magnetic Hanger,Hanger,Stainless steel,2,55.0,True,True,True,False,2026-05-20 01:43:14+00:00,104
WM-PRC-001,Snake Labret Pack,Piercing,Titanium,2,50.0,True,True,True,False,2026-06-04 21:14:02+00:00,104
WM-HAN-005,Ornamental Bronze Snake Weights,Hanger,Mixed,2,44.0,True,True,True,False,2026-05-19 04:01:51+00:00,104
WM-TUN-005,Brass-rim Wood Tunnel,Tunnel,Mixed,2,35.0,True,True,True,False,2026-05-30 08:20:44+00:00,104
WM-PLG-001,Wood Plugs,Plug,Wood,2,30.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-PRC-032,Round Opal Cabochon Labret Tops (blue/green),Piercing,Titanium,2,30.0,False,True,True,False,2026-05-30 09:15:32+00:00,104
WM-PRC-033,Round CZ Labret Tops (pink/violet),Piercing,Titanium,2,25.0,False,True,True,False,2026-05-30 09:15:39+00:00,104
WM-RNG-007,Jimmy Atacama Meteorite Ring 19mm,Ring,Mixed,1,280.0,True,True,True,False,2026-05-31 23:32:11+00:00,104
WM-RNG-008,Jimmy Atacama Meteorite Ring 17.5mm,Ring,Mixed,1,280.0,True,True,True,False,2026-05-31 23:32:17+00:00,104
WM-HAN-032,Alai Wakan Triangle Labradorite Hanger,Hanger,Mixed,1,160.0,True,True,True,False,2026-06-05 00:59:50+00:00,104
WM-HAN-031,Alai Wakan Triangle Dart Hanger,Hanger,Mixed,1,120.0,True,True,True,False,2026-06-05 00:58:58+00:00,104
WM-HAN-033,Alai Wakan Articulated Triangle Hanger,Hanger,Mixed,1,120.0,True,True,True,False,2026-06-05 00:59:02+00:00,104
WM-HAN-009,Magnetic Hoop Hanger,Hanger,Mixed,1,95.0,True,True,True,False,2026-05-13 23:00:33+00:00,104
WM-HAN-010,Ornate Magnetic Hoop Hanger,Hanger,Mixed,1,95.0,True,True,True,False,2026-05-14 04:26:49+00:00,104
WM-HAN-011,Tribal Architecture Hanger,Hanger,Mixed,1,95.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
WM-HAN-012,Heavy Cast Hook Hanger 14mm,Hanger,Mixed,1,95.0,True,True,True,False,2026-05-30 08:19:35+00:00,104
