sku,name,material,estado,bucket,rationale
WM-PLG-016,Red Wood Plug 22mm,Wood,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-019,Iridescent Titanium Plug 10mm,Titanium,RAW,dudoso_o_probable_usable,"No apareció archivo exacto por SKU en LaCie, pero hubo evidencia/revisión manual previa en esta sesión; conviene rescatar fuente real antes de re-fotografiar."
WM-PLG-020,Dark Red Wood Plug 20mm,Wood,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-021,Cube Hexagon Black Plug 10mm,Stainless steel,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-023,Labradorite Plug 16mm,Stone,RESERVED,dudoso_o_probable_usable,"No apareció archivo exacto por SKU en LaCie, pero hubo evidencia/revisión manual previa en esta sesión; conviene rescatar fuente real antes de re-fotografiar."
WM-PLG-024,Jade Plug 20mm,Stone,RAW,dudoso_o_probable_usable,"No apareció archivo exacto por SKU en LaCie, pero hubo evidencia/revisión manual previa en esta sesión; conviene rescatar fuente real antes de re-fotografiar."
WM-PLG-026,White Stone Plug 14mm,Stone,RAW,dudoso_o_probable_usable,"No apareció archivo exacto por SKU en LaCie, pero hubo evidencia/revisión manual previa en esta sesión; conviene rescatar fuente real antes de re-fotografiar."
WM-PLG-027,Fluorite Plug 16mm,Stone,RAW,dudoso_o_probable_usable,"No apareció archivo exacto por SKU en LaCie, pero hubo evidencia/revisión manual previa en esta sesión; conviene rescatar fuente real antes de re-fotografiar."
WM-PLG-028,Labradorite Plug 22mm,Stone,RESERVED,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-029,Fossil Coral Plug 14mm,Stone,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-031,Amethyst Plug 14mm,Stone,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-032,Labradorite Plug 8mm (Single),Stone,RESERVED,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-033,Jade Plug 12mm,Stone,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-034,Labradorite Plug 10mm,Stone,RESERVED,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-035,Fossil Coral Plug 8mm,Stone,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-036,Silver Sheen Obsidian Plug 8mm,Stone,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-037,Purple Marbled Resin Plug 10mm,Resin,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-038,Coconut Palm Wood Plug 6mm,Wood,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
WM-PLG-039,Bee Honeycomb Wood Plug 20mm,Wood,RAW,si_falta,Sin archivo exacto por SKU en LaCie y sin evidencia firme adicional en esta sesión.
