TOTAL photo-as-product (already draft): 20

id,sku,name,status
2026,WM-RNG-001_back,Handmade Plug - Stone 10mm,draft
2027,WM-PLG-014_detail,Handmade Plug - Stone 10mm,draft
2028,WM-PLG-014_back,Handmade Plug - Stone 10mm,draft
2029,WM-PLG-013_back,Handmade Plug - Stone 10mm,draft
2030,WM-PLG-012_back,Handmade Plug - Stone 10mm,draft
2031,WM-PLG-004_back,Handmade Plug - Stone 10mm,draft
2032,WM-PLG-004_angle,Handmade Plug - Stone 10mm,draft
2033,WM-PLG-003_detail,Handmade Plug - Stone 10mm,draft
2034,WM-PLG-003_back,Handmade Plug - Stone 10mm,draft
2035,WM-PLG-002_back,Handmade Plug - Stone 10mm,draft
2036,WM-PLG-001_back,Handmade Plug - Stone 10mm,draft
2037,WM-LAB-003_detail,Handmade Labret - Steel 10mm,draft
2038,WM-LAB-003_back,Handmade Labret - Steel 10mm,draft
2041,WM-LAB-002_macro,Handmade Labret - Steel 10mm,draft
2043,WM-LAB-002_detail,Handmade Labret - Steel 10mm,draft
2045,WM-LAB-002_back,Handmade Labret - Steel 10mm,draft
2046,WM-LAB-002_angle,Handmade Labret - Steel 10mm,draft
2047,WM-HAN-003_back,Handmade Hanger - Surgical Steel 10mm,draft
2048,WM-HAN-001_detail,Handmade Hanger - Surgical Steel 10mm,draft
2049,WM-HAN-001_back,Handmade Hanger - Surgical Steel 10mm,draft
